name,price,oldPrice
"Отбеливающие полоски для зубов Global White Teeth Whitening Strips 1 пара",139.0,139
"Маска для волос Estel Я Тон тонирующая 6/7 Шоколадный",189.0,189
"Пенка для укладки волос Тафт Объем Мегафиксация (5) 150мл",319.0,449
"Универсальные салфетки из микрофибры Clear Line 30*30см 4шт",129.0,129
"Шампунь Alerana для жирных и комбинированных волос 250мл",479.0,689
"Бумажные косметические салфетки Floom ' Зеленый мрамор ' 2х-слойные в коробке 100шт",99.0,99
"Дихлофос от всех насекомых Moskitek Professional 345мл",199.0,199
"Стойкая крем - гель краска для волос Estel Color Signature 8/0 Капучино",489.0,489
"CC крем для лица Luxvisage Active Complex SPF10 , 30 , 35г",324.0,499
"Кислородный очиститель Timer Чистая сила для всех поверхностей 1000г",239.0,349
"Зубная паста для укрепления и реминерализации эмали PresiDENT Four Calcium 75г",304.0,469
"Зубная паста SPLAT Professional для чувствительных зубов ' Sensitive ' 100мл",209.0,339
"Пятновыводитель для цветного белья Vanish Oxi Action 450мл",189.0,259
"Пинцет Zinger скошенный для бровей",379.0,379
"Таблетки для сливного бачка Haus Frau WC ' хвоя ' 2шт*50г",179.0,179
"Антивозрастной крем - филлер для лица с гиалуроном , плацентой и бакучиолом Benabi Revitalift Face Cream 50мл",995.0,1990
"Отшелушивающие носочки для ног WEIS Peeling foot mask с экстрактом лаванды 1 пара",269.0,269
"Порошок для стирки цветного белья Лоск Color автомат 450г",99.0,149
"Средство для ногтей Frenchi Умная эмаль ' быстросохнущее финишное покрытие Супер Блеск ' 11мл",299.0,299
"Краска для бровей и ресниц Estel Only Looks Черная",339.0,339
"Салфетки против окрашивания белья MitRa Color Absorbent 20шт",129.0,129
"Стойкая краска - гель Estel Only для волос 6/71 Темно-русый Коричнево-пепельный",415.0,415
"Бальзам Estel Curex Color Save ' Поддержание цвета ' для окрашенных волос 250мл",529.0,529
"Гель для бровей и ресниц Essence Lash and Brow 9мл",241.0,241
"Детское масло для тела Delicare Baby ' увлажнение и уход ' 0+ 150мл",119.0,199
"Мягкие бигуди для создания локонов Ameli",399.0,399
"Окисляющая эмульсия для волос Ollin Professional Performance ' Oxy ' 3% 10vol. , 90мл",189.0,189
"Клиппер для маникюра Kaizer большой 80мм",259.0,259
"Кисть для окрашивания волос Kaizer Professional широкая , искусственный ворс",109.0,109
"Жидкость для снятия гель-лака Valori с ацетоном 150мл",199.0,199
"Масло Elseve восстанавливающее экстраординарное для поврежденных волос 100мл",1390.0,1390
"Средство для устранения засоров Synergetic 1л",189.0,279
"Детская зубная щетка D.I.E.S. Kids с мигающим таймером 3+ мягкая в ассортименте",299.0,299
"Тушь для ресниц с эффектом гиперобъёма Vivienne Sabo ' Fantastique ' , Черный , 9мл",249.0,529
"Мягкое средство для снятия лака без ацетона Чистая сила Улыбка 110мл",99.0,99
"Салфетка Haus Frau из микрофибры 30*30см",149.0,149
"Зубная паста Colgate Тройное действие ' Натуральная мята ' 100мл",129.0,179
"Лак для укладки волос Прелесть Professional Эффект памяти Мегафиксация (5) 75мл",179.0,269
